PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
-15.208495	-5.439425	0.610731	-10.164397	5.125831	-9.608999
-15.124789	-11.987496	-5.485916	-10.117100	-7.077712	-9.608996
-11.006565	5.772676	5.542780	-15.951624	6.401115	-9.608338
2.897698	-13.811231	-5.485916	3.155380	-7.576637	3.781360
2.813548	-7.041393	0.610068	3.090948	4.189763	3.768869
3.134497	-9.040538	-6.615399	-1.377137	-13.538478	5.372419
-5.567394	-6.848658	-6.235002	-8.198459	-13.538477	-6.523197
-1.360048	8.179771	6.491402	-13.792447	5.126605	-6.220573
6.277183	-9.147781	-6.624194	1.248923	-13.538478	5.373102
5.162957	5.990863	6.457571	-8.128035	5.125648	2.499243
-10.723360	-8.738965	-3.026864	-6.484682	-10.502238	3.180850
-16.821062	-8.738965	-3.026864	-11.520014	-10.502238	-3.286331
-10.831086	6.291924	7.480736	-12.576280	7.852344	3.180850
-16.924904	6.291924	7.480736	-17.554317	7.852344	-3.286331
-5.647582	-8.738965	-3.026864	0.372660	-10.502238	5.111209
-8.405608	-10.190151	-2.062715	-7.418634	-11.195119	0.510074
-7.187325	4.424803	6.095985	-12.817771	6.276921	0.508911
-14.085180	-10.190151	-2.062715	-9.074757	-11.195119	-5.871489
4.640860	-14.454375	-2.062715	1.993820	-11.195200	6.478225
-12.867430	4.424803	6.095985	-14.471638	6.276921	-5.871578
5.337200	-2.830855	2.187467	1.183445	-6.482076	6.968087
-4.871990	4.451410	2.223765	-11.879769	-2.194879	-6.791187
5.406424	-9.423938	-3.869445	1.741051	-11.011620	6.968089
-11.326086	9.373448	7.103319	-14.788143	6.203012	-6.791187
-11.266211	-6.751797	-3.794991	-11.310984	-11.010564	-6.791187
-5.348565	7.101487	3.498407	-13.417155	6.178531	-11.320005
0.239778	6.741261	3.497976	-10.844294	6.177819	-9.986883
-5.327251	1.772936	-1.926680	-12.890057	-4.174851	-11.319704
6.075309	0.142077	3.305142	-5.089485	4.180500	4.368373
0.256492	1.216078	-1.953839	-10.319808	-4.475877	-9.946673
